report_id,instrument,report_date,strategy,direction,entry_mode,suggested_entry,stop_loss,tp1,tp2,tp3,risk_R_points,management,is_primary,scenario,unit,filled,fill_when,fill_datetime_uk,fill_price,sessions_to_fill,exit_price,exit_datetime_uk,exit_reason,R_card,R_realised,sessions_to_resolve,status
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,N,ALT_GTC_runner_trail_R3,Unit 3,YES (counterfactual GTC),NEXT SESSION (t+1),2026-05-12 17:15,7358.92,1,7481.52,2026-05-14 14:15,Runner trailed to daily R3 after 13 May close 7458.5 closed through R2,3.064,3.064,3,CLOSED
SPX-2026-05-11,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7316.24,7258.56,7373.91,7401.5,7486.76,57.68,3 units; structural runner SL pull to 7247.27 on close-through 100% ext,Y,PRIMARY,All units,NO,NO FILL,,,,,,"Limit 7316.24 first touched 2026-06-09 17:45, 21 sessions after issue. Missed by 56.0 pts in week 1.",0.0,0.0,0,NO_FILL
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,Y,PRIMARY,Unit 1,YES,SAME SESSION (07:00 anchor bar),2026-05-12 07:00,7402.8,0,7481.6,2026-05-14 14:15,TP1 touched,1.0,1.34,2,CLOSED
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,Y,PRIMARY,Unit 2,YES,SAME SESSION (07:00 anchor bar),2026-05-12 07:00,7402.8,0,7344.0,2026-05-19 16:15,STOPPED OUT. SL touched before TP2 (TP2 7550.4 not reached until 2026-05-25 07:15). Unit 2 carries the original stop - no BE rule applies to it.,-1.0,-1.0,5,CLOSED
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,Y,PRIMARY,Unit 3,YES,SAME SESSION (07:00 anchor bar),2026-05-12 07:00,7402.8,0,7402.0,2026-05-12 22:45,CARD-SPECIFIED runner time-stop at 12 May session close (cap 7575 not reached; session high 7425.5),-0.157,-0.014,0,CLOSED
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,N,ALT_runner_traced_no_timestop,Unit 3,YES,SAME SESSION (07:00 anchor bar),2026-05-12 07:00,7402.8,0,7344.0,2026-05-19 16:15,"If runner time-stop ignored: Unit3 SL still at 7344.0 (BE move requires TP2 fill, which never occurred before the stop) -> stopped out",-1.0,-1.0,5,CLOSED
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",LONG,BUY LIMIT,7378.0,7344.0,7412.0,7446.0,7460.9,34.0,"3 units; Unit3 SL->entry+0.2R (7384.8) on TP2 fill; runner exits on first daily close below daily P 7378, capped at weekly R2 7460.9",Y,PRIMARY,Unit 1,YES,SAME SESSION,2026-05-12 15:45,7378.0,0,7412.0,2026-05-12 21:45,TP1 touched same session,1.0,1.0,0,CLOSED
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",LONG,BUY LIMIT,7378.0,7344.0,7412.0,7446.0,7460.9,34.0,"3 units; Unit3 SL->entry+0.2R (7384.8) on TP2 fill; runner exits on first daily close below daily P 7378, capped at weekly R2 7460.9",Y,PRIMARY,Unit 2,YES,SAME SESSION,2026-05-12 15:45,7378.0,0,7446.0,2026-05-13 18:15,TP2 touched (SL 7344.0 never hit; session low 7345.3 on 12 May missed it by 1.3 pts),2.0,2.0,1,CLOSED
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",LONG,BUY LIMIT,7378.0,7344.0,7412.0,7446.0,7460.9,34.0,"3 units; Unit3 SL->entry+0.2R (7384.8) on TP2 fill; runner exits on first daily close below daily P 7378, capped at weekly R2 7460.9",Y,PRIMARY,Unit 3,YES,SAME SESSION,2026-05-12 15:45,7378.0,0,7460.9,2026-05-13 20:00,Runner capped at weekly R2 - cap reached before both the BE stop 7384.8 (18 May) and the first daily close below P (19 May),2.438,2.438,1,CLOSED
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7362.0,7310.0,7381.9,7429.0,7626.0,52.0,3 units; Unit3 SL->entry+0.2R (7372.4) on TP2 fill; structural override to 7395.5 only on 100%-ext break,Y,PRIMARY,Unit 1,YES,SAME SESSION,2026-05-12 17:00,7362.0,0,7381.9,2026-05-12 20:15,TP1 touched same session,0.383,0.383,0,CLOSED
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7362.0,7310.0,7381.9,7429.0,7626.0,52.0,3 units; Unit3 SL->entry+0.2R (7372.4) on TP2 fill; structural override to 7395.5 only on 100%-ext break,Y,PRIMARY,Unit 2,YES,SAME SESSION,2026-05-12 17:00,7362.0,0,7429.0,2026-05-13 10:00,TP2 (0% fib / 5-day swing high) touched,1.288,1.288,1,CLOSED
SPX-2026-05-12,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7362.0,7310.0,7381.9,7429.0,7626.0,52.0,3 units; Unit3 SL->entry+0.2R (7372.4) on TP2 fill; structural override to 7395.5 only on 100%-ext break,Y,PRIMARY,Unit 3,YES,SAME SESSION,2026-05-12 17:00,7362.0,0,7372.4,2026-05-18 02:00,"BE+0.2R trail stop hit. 100%-ext 7626 not reached until 2026-08-04, so the structural override never armed.",0.2,0.2,4,CLOSED
SPX-2026-05-13,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-13,Trade 1 - Daily Directional,n/a,n/a,,,,,,,,Y,PRIMARY,All units,NO,SUPPRESSED,,,,,,SUPPRESSED by card: direction score |+0.12| below 0.25 conviction threshold. No trade issued.,0.0,0.0,0,SUPPRESSED
SPX-2026-05-13,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,3 units; Unit3 SL->entry+0.2R (7389.46) on TP2 fill; runner trails toward prior ATH 7428.97 / weekly R1 ~7468,Y,PRIMARY,Unit 1,YES - MISPLACED STOP,SAME SESSION (immediate - level already breached at anchor),2026-05-13 07:00,7419.8,0,7423.12,2026-05-13 07:00,TP1 (daily R1) - already trading above it in the anchor bar (H 7423.3),1.732,0.059,0,CLOSED
SPX-2026-05-13,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,3 units; Unit3 SL->entry+0.2R (7389.46) on TP2 fill; runner trails toward prior ATH 7428.97 / weekly R1 ~7468,Y,PRIMARY,Unit 2,YES - MISPLACED STOP,SAME SESSION (immediate - level already breached at anchor),2026-05-13 07:00,7419.8,0,7434.21,2026-05-13 10:15,TP2 (daily R1.5) touched,2.237,0.254,0,CLOSED
SPX-2026-05-13,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,3 units; Unit3 SL->entry+0.2R (7389.46) on TP2 fill; runner trails toward prior ATH 7428.97 / weekly R1 ~7468,Y,PRIMARY,Unit 3,YES - MISPLACED STOP,SAME SESSION (immediate - level already breached at anchor),2026-05-13 07:00,7419.8,0,7389.46,2026-05-13 15:45,"BE+0.2R trail stop hit at 15:45, BEFORE TP3 7445.29 was reached at 18:15",0.2,-0.535,0,CLOSED
SPX-2026-05-13,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP,7432.0,7335.0,7529.0,7626.0,7606.0,97.0,3 units; Unit3 SL->entry+0.2R (7451.40) on TP2 fill; runner CARD-SPECIFIED time-stop at session close + 3xATR cap,Y,PRIMARY,Unit 1,YES,SAME SESSION,2026-05-13 10:00,7432.0,0,7529.0,2026-05-25 01:30,TP1 touched. SL 7335 survived the 19 May low of 7339.1 by 4.1 pts.,1.0,1.0,8,CLOSED
SPX-2026-05-13,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP,7432.0,7335.0,7529.0,7626.0,7606.0,97.0,3 units; Unit3 SL->entry+0.2R (7451.40) on TP2 fill; runner CARD-SPECIFIED time-stop at session close + 3xATR cap,Y,PRIMARY,Unit 2,YES,SAME SESSION,2026-05-13 10:00,7432.0,0,7335.0,2026-06-09 17:15,STOPPED OUT. TP2 7626 not reached until 2026-08-04; SL hit first in the June drawdown.,-1.0,-1.0,19,CLOSED
SPX-2026-05-13,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP,7432.0,7335.0,7529.0,7626.0,7606.0,97.0,3 units; Unit3 SL->entry+0.2R (7451.40) on TP2 fill; runner CARD-SPECIFIED time-stop at session close + 3xATR cap,Y,PRIMARY,Unit 3,YES,SAME SESSION,2026-05-13 10:00,7432.0,0,7458.5,2026-05-13 22:45,CARD-SPECIFIED runner time-stop at 13 May session close,0.273,0.273,0,CLOSED
SPX-2026-05-14,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-14,Trade 1 - Daily Directional,n/a,n/a,,,,,,,,Y,PRIMARY,All units,NO,SUPPRESSED,,,,,,SUPPRESSED by card: direction score +0.18 below 0.25 threshold; event-laden session (Trump-Xi summit + Retail Sales).,0.0,0.0,0,SUPPRESSED
SPX-2026-05-14,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-14,Trade 2 - Pivot (buy limit weekly P),LONG,BUY LIMIT,7402.0,7367.0,7437.0,7472.0,7540.0,35.0,3 units; Unit3 SL->entry+0.2R (7409) on TP2 fill; runner time-stop at session close,Y,PRIMARY,All units,NO,NO FILL - order expired,,,,,,Card scoped order to the full 14 May cash session. Cash-session (14:30-21:00 UK) low 7462.9 - missed by 60.9 pts; full-session low 7454.1 - missed by 52.1 pts.,0.0,0.0,0,NO_FILL
SPX-2026-05-14,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7422.0,7378.0,7449.0,7495.0,7540.0,44.0,3 units; Unit3 SL->entry+0.2R (7431) on TP2 fill; structural override to 7400 only on break above 7520,Y,PRIMARY,Unit 1,YES,NEXT SESSION (t+1) - order was valid 14-15 May,2026-05-15 10:30,7422.0,1,7449.0,2026-05-15 12:45,TP1 (100% retrace) touched two hours after fill,0.614,0.614,0,CLOSED
SPX-2026-05-14,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7422.0,7378.0,7449.0,7495.0,7540.0,44.0,3 units; Unit3 SL->entry+0.2R (7431) on TP2 fill; structural override to 7400 only on break above 7520,Y,PRIMARY,Unit 2,YES,NEXT SESSION (t+1) - order was valid 14-15 May,2026-05-15 10:30,7422.0,1,7378.0,2026-05-18 02:00,STOPPED OUT. TP2 7495 not reached until 22 May; SL hit first.,-1.0,-1.0,1,CLOSED
SPX-2026-05-14,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7422.0,7378.0,7449.0,7495.0,7540.0,44.0,3 units; Unit3 SL->entry+0.2R (7431) on TP2 fill; structural override to 7400 only on break above 7520,Y,PRIMARY,Unit 3,YES,NEXT SESSION (t+1) - order was valid 14-15 May,2026-05-15 10:30,7422.0,1,7378.0,2026-05-18 02:00,STOPPED OUT at the original SL - the BE+0.2R move to 7431 requires a TP2 fill that never happened.,-1.0,-1.0,1,CLOSED
SPX-2026-05-15,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-15,Trade 1 - Daily Directional,LONG,MARKET @ 13:30 UK,7501.59,7453.59,7549.59,7597.59,7681.59,48.0,3 units; Unit3 SL->entry+0.2R (7511.19) on TP2 fill; runner time-stop at NY close 15 May,Y,PRIMARY,Unit 1,YES,SAME SESSION,2026-05-15 13:30,7441.5,0,7453.59,2026-05-15 13:30,"STALE ANCHOR. Card entry 7501.59 is the 14 May close, but at the stated 13:30 UK entry time price was 7441.5 - already 60 pts below, and BELOW the 7453.59 stop. On card levels the stop is breached in the entry bar itself (bar low 7432.0). On the actual fill the order is malformed: SL sits 12.1 pts ABOVE entry for a LONG.",-1.0,VOID_INVALID_STOP,0,CLOSED - CARD DEFECT
SPX-2026-05-15,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-15,Trade 1 - Daily Directional,LONG,MARKET @ 13:30 UK,7501.59,7453.59,7549.59,7597.59,7681.59,48.0,3 units; Unit3 SL->entry+0.2R (7511.19) on TP2 fill; runner time-stop at NY close 15 May,Y,PRIMARY,Unit 2,YES,SAME SESSION,2026-05-15 13:30,7441.5,0,7453.59,2026-05-15 13:30,"STALE ANCHOR. Card entry 7501.59 is the 14 May close, but at the stated 13:30 UK entry time price was 7441.5 - already 60 pts below, and BELOW the 7453.59 stop. On card levels the stop is breached in the entry bar itself (bar low 7432.0). On the actual fill the order is malformed: SL sits 12.1 pts ABOVE entry for a LONG.",-1.0,VOID_INVALID_STOP,0,CLOSED - CARD DEFECT
SPX-2026-05-15,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-15,Trade 1 - Daily Directional,LONG,MARKET @ 13:30 UK,7501.59,7453.59,7549.59,7597.59,7681.59,48.0,3 units; Unit3 SL->entry+0.2R (7511.19) on TP2 fill; runner time-stop at NY close 15 May,Y,PRIMARY,Unit 3,YES,SAME SESSION,2026-05-15 13:30,7441.5,0,7453.59,2026-05-15 13:30,"STALE ANCHOR. Card entry 7501.59 is the 14 May close, but at the stated 13:30 UK entry time price was 7441.5 - already 60 pts below, and BELOW the 7453.59 stop. On card levels the stop is breached in the entry bar itself (bar low 7432.0). On the actual fill the order is malformed: SL sits 12.1 pts ABOVE entry for a LONG.",-1.0,VOID_INVALID_STOP,0,CLOSED - CARD DEFECT
SPX-2026-05-15,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-15,Trade 1 - Daily Directional,LONG,MARKET @ 13:30 UK,7501.59,7453.59,7549.59,7597.59,7681.59,48.0,3 units; Unit3 SL->entry+0.2R (7511.19) on TP2 fill; runner time-stop at NY close 15 May,N,ALT_reanchored_to_actual_1330_price,Unit 1,YES,SAME SESSION,2026-05-15 13:30,7441.5,0,7393.5,2026-05-15 22:00,"Stopped out (reconstruction: entry 7441.5, R preserved at 48 -> SL 7393.5, TP1 7489.5 not reached until 22 May)",-1.0,-1.0,0,CLOSED
SPX-2026-05-15,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-15,Trade 1 - Daily Directional,LONG,MARKET @ 13:30 UK,7501.59,7453.59,7549.59,7597.59,7681.59,48.0,3 units; Unit3 SL->entry+0.2R (7511.19) on TP2 fill; runner time-stop at NY close 15 May,N,ALT_reanchored_to_actual_1330_price,Unit 2,YES,SAME SESSION,2026-05-15 13:30,7441.5,0,7393.5,2026-05-15 22:00,"Stopped out (reconstruction: entry 7441.5, R preserved at 48 -> SL 7393.5, TP1 7489.5 not reached until 22 May)",-1.0,-1.0,0,CLOSED
SPX-2026-05-15,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-15,Trade 1 - Daily Directional,LONG,MARKET @ 13:30 UK,7501.59,7453.59,7549.59,7597.59,7681.59,48.0,3 units; Unit3 SL->entry+0.2R (7511.19) on TP2 fill; runner time-stop at NY close 15 May,N,ALT_reanchored_to_actual_1330_price,Unit 3,YES,SAME SESSION,2026-05-15 13:30,7441.5,0,7429.3,2026-05-15 21:00,"Runner time-stop at NY close 16:00 ET, ahead of the 22:00 stop (reconstruction: entry 7441.5, R preserved at 48 -> SL 7393.5, TP1 7489.5 not reached until 22 May)",-0.254,-0.254,0,CLOSED
SPX-2026-05-15,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7485.68,7461.74,7525.66,7549.73,,23.94,3 units; Unit3 SL->entry+0.2R (7490.47) on TP2 fill; runner time-stop at NY close,Y,PRIMARY,All units,NO,NO FILL - time-stopped at NY close,,,,,,Buy stop 7485.68 sat 44.2 pts above the 13:30 UK price of 7441.5 and was never triggered - price fell away all session. Level not reached until 2026-05-22 10:15.,0.0,0.0,0,NO_FILL
SPX-2026-05-15,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-15,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP (on confirmed daily close > 7505.30),7510.0,7425.0,7595.0,7680.0,,85.0,3 units; Unit3 SL->entry+0.2R (7527) on TP2 fill; runner time-stop at 22 May NY close,Y,PRIMARY,All units,NO,NO FILL - expired at 22 May time-stop,,,,,,"Entry condition never met. No daily close above 7505.30 between 15 and 22 May (highest close 7504.1 on 14 May, then 7470.9 on 22 May); the 7510 level itself was not touched until 2026-05-25.",0.0,0.0,0,NO_FILL
SPX-2026-05-18,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-18,Trade 1 - Daily Directional,SHORT,MARKET @ overridden daily-open anchor,7457.31,7466.1,7448.52,7439.73,7322.31,8.79,3 units; Unit3 SL->entry-0.2R (7459.07) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,Y,PRIMARY,Unit 1,YES - UNEXECUTABLE REFERENCE,SAME SESSION,2026-05-18 00:00,7397.4,0,7448.52,2026-05-18 00:00,"CARD DEFECT. Entry 7457.31 is a DERIVED level (5-session swing mid), not a tradeable price - the 18 May session opened at 7397.4, 60 pts BELOW it, and never traded up to 7457.31 (session high 7438.5). A market SHORT at that price was unavailable; TP1 and TP2 both sit ABOVE the actual market. Unit 3 exits at the card-specified session-close time-stop. R of 8.79 pts against a 52-pt favourable move inflates card-basis R absurdly.",1.0,VOID_UNREACHABLE_ENTRY,0,CLOSED - CARD DEFECT
SPX-2026-05-18,"US500 (S&P 500; card levels cash-basis, resolved on broker CFD M15 feed)",2026-05-18,Trade 1 - Daily Directional,SHORT,MARKET @ overridden daily-open anchor,7457.31,7466.1,7448.52,7439.73,7322.31,8.79,3 units; Unit3 SL->entry-0.2R (7459.07) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,Y,PRIMARY,Unit 2,YES - UNEXECUTABLE REFERENCE,SAME SESSION,2026-05-18 00:00,7397.4,0,7439.73,2026-05-18 00:00,"CARD DEFECT. Entry 7457.31 is a DERIVED level (5-session swing mid), not a tradeable price - the 18 May session opened at 7397.4, 60 pts BELOW it, and never traded up to 7457.31 (session high 7438.5). A market SHORT at that price was unavailable; TP1 and TP2 both sit ABOVE the actual market. Unit 3 exits at the card-specified session-close time-stop. R of 8.79 pts against a 52-pt favourable move inflates card-basis R absurdly.",2.0,VOID_UNREACHABLE_ENTRY,0,CLOSED - CARD DEFECT
