card_id,report_date,report_file,strategy,family,direction,entry_mode,entry_mode_text,anchor_broker,entry,stop,tp1,tp2,tp3,card_R_points,be_rule,runner_rule,management_text,suppressed,source,slice_file,last_bar_broker
2026-05-19_Trade_2,2026-05-19,SP500_Daily_Report_19May2026.md,"Trade 2 - Pivot (trend branch, buy limit above the daily pivot)",Trade 2,LONG,LIMIT,"Resting buy limit at 7406.95, monitoring open 09:00 broker, good until the 23:00 broker cut-off. The limit sits 4.05 pts below the 18 May reference close of 7411.00, i.e. on the correct side for a buy limit. Fill on first touch; if untouched by the cut-off the order is cancelled.",09:00,7406.95,7373.7,7447.0,7465.0,7483.0,33.25,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at 7447.00, Unit 2 at 7465.00, Unit 3 at 7483.00. On the Unit 2 fill the Unit 3 stop moves to entry + 0.2R = 7406.95 + 6.65 = 7413.60. Unit 3 otherwise traces to its target or to the stop. Thesis invalidation, separate from the stop: a daily close back through the daily pivot at 7402.50 (28.80 pts above the stop = 0.35x atr_14, so it carries information the stop does not). Event caveat: Wednesday 20 May FOMC minutes and Thursday 21 May Nvidia earnings both fall inside the holding period per the report's own forward calendar.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-18.csv,2026-05-18 23:45:00
2026-05-19_Trade_3A,2026-05-19,SP500_Daily_Report_19May2026.md,Trade 3A - Momentum-Pullback (fib retracement of the impulse swing),Trade 3A,LONG,LIMIT,"SUPPRESSED - no order is placed. The template entry would have been a resting buy limit at the 57.5% retracement, but that level sits above the reference close and cannot be worked.",09:00,,,,,,,NONE,TRACE,"SUPPRESSED - no position, therefore no tranching, no break-even trail and no runner stop-pull apply.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-18.csv,2026-05-18 23:45:00
2026-05-20_Trade_1,2026-05-20,SP500_Daily_Report_20May2026.md,Trade 1 - Daily Directional,Trade 1,n/a,MARKET,"Would have been a market fill at the 09:00 broker daily-open anchor, at the D-1 reference close. Not armed: the card is suppressed, so no order is placed and no level is quoted.",09:00,,,,,,,NONE,SESSION_CLOSE_TIMESTOP,"Suppressed - no position, no tranching, no management. Recorded as a row rather than omitted.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-19.csv,2026-05-19 23:45:00
2026-05-20_Trade_2,2026-05-20,SP500_Daily_Report_20May2026.md,"Trade 2 - Pivot, TREND branch (weekly floor pivots)",Trade 2,LONG,STOP,"Buy stop at 7436.3, resting from the 09:00 broker anchor; first touch fills. Entry sits 74.0 points ABOVE the 2026-05-19 reference close of 7362.3, which is the side M5 section 5.0 requires of a buy stop.",09:00,7436.3,7352.2,7510.8,7558.3,7605.7,84.1,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"Three equal units. Unit 1 exits at TP1 7510.8 (weekly R1). Unit 2 exits at TP2 7558.3 (weekly R1.5); on that fill the Unit 3 stop moves to entry + 0.2R = 7453.1. Unit 3 runs toward TP3 7605.7 (weekly R2) and is time-stopped at the 20 May cash close in any case, whichever comes first - NVIDIA reports after that close and the runner is not held through it. WIDE STOP flag: R = 84.1 points = 1.10 x ATR14. Thesis invalidation, distinct from the stop: a daily close back through the weekly pivot P 7428.1.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-19.csv,2026-05-19 23:45:00
2026-05-20_Trade_3A,2026-05-20,SP500_Daily_Report_20May2026.md,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,LIMIT,"Buy limit at 7324.3, resting from the 09:00 broker anchor; first touch fills. Entry sits 38.0 points BELOW the 2026-05-19 reference close of 7362.3, the side M5 section 5.0 requires of a buy limit. It is 14.8 points below the 19 May cash low 7339.1, so it needs a further leg down in the session to fill.",09:00,7324.3,7158.5,7391.0,7522.9,7868.3,165.8,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at TP1 7391.0 (38.2% retracement). Unit 2 exits at TP2 7522.9 (0%, the swing origin high); on that fill the Unit 3 stop moves to entry + 0.2R = 7357.5. Unit 3 traces toward TP3 7868.3 (100% extension) on the original card stop until that trail takes over; if price prints above 7868.3 the Unit 3 stop pulls to the halfway mark of the original 1:1 leg, 7423.6, per the structural override. WIDE STOP flag: R = 165.8 points = 2.18 x ATR14. Thesis invalidation, distinct from the stop: a daily close beyond the 7177.5 swing-low anchor.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-19.csv,2026-05-19 23:45:00
2026-05-21_Trade_1,2026-05-21,SP500_Report_21May2026.md,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,Market at the daily-open anchor (07:00 UK = 09:00 broker); fill level is the D-1 reference close 7436.80.,09:00,7436.8,7343.51,7530.09,7623.38,7662.34,93.29,BE_0.2R_ON_TP2,SESSION_CLOSE_TIMESTOP,"Three equal units. Unit 1 exits at TP1 7530.09 (+1R). Unit 2 exits at TP2 7623.38 (+2R); on that fill Unit 3 stop moves to entry +0.2R = 7455.46. Unit 3 is time-stopped at the session close or price-stopped at entry +3xATR14 = 7662.34, whichever triggers first. Wide-stop flag set: R 93.29 pts = 1.24 x ATR14 (cash) - size reduced accordingly. Thesis invalidation (separate from the stop): a daily close back through D-1 daily S1 7385.07. Holding period collides with the scheduled Nvidia Q1 earnings event - event risk live.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-20.csv,2026-05-20 23:45:00
2026-05-21_Trade_2,2026-05-21,SP500_Report_21May2026.md,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,STOP,"Buy stop at 7468.67, resting from the 09:00 broker anchor; +31.87 pts above the D-1 reference close 7436.80.",09:00,7468.67,7424.38,7480.25,7494.73,7546.47,44.29,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at TP1 7480.25 (daily R1.5), Unit 2 at TP2 7494.73 (daily R2); on the Unit 2 fill the Unit 3 stop moves to entry +0.2R = 7477.53. Unit 3 traces toward TP3 7546.47 (daily R3). R 44.29 pts = 0.59 x ATR14 (cash) - no wide-stop flag. Breakout-side-only construction: in the TRANSITION regime the counter-side limit is suppressed, not re-labelled. Thesis invalidation (separate from the stop): a daily close back through the broken boundary, daily R1 7465.77. Holding period collides with the scheduled Nvidia Q1 earnings event. The monthly pivot tier is single-source-indicative and is not used on this card; the daily tier used here is computed from corroborated D-1 cash H/L/C.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-20.csv,2026-05-20 23:45:00
2026-05-21_Trade_3C,2026-05-21,SP500_Report_21May2026.md,Trade 3C - Momentum-Breakout (conditional),Trade 3C,LONG,CONDITIONAL,"SUPPRESSED - no confirmed break at the D-1 close, so no order is placed and no entry level is issued.",09:00,,,,,,,NONE,TRACE,"SUPPRESSED - no confirmed break of the 25-session range at the D-1 close. No entry, stop, R or target ladder is issued. Commentary only (outside the card): the trade would arm on a daily close at or above 7541.70 (25-session high 7522.90 + 0.25 x ATR14 18.80); the D-1 close 7436.80 is 104.90 pts below that condition.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-20.csv,2026-05-20 23:45:00
2026-05-22_Trade_1,2026-05-22,SP500_Report_22May2026.md,Trade 1 - Daily Directional (SUPPRESSED - conviction below threshold),Trade 1,n/a,MARKET,"Suppressed. Had the card been eligible it would have been a market order at the daily-open anchor, filled at the D-1 reference close. No order is issued and no level is stated.",09:00,,,,,,,NONE,SESSION_CLOSE_TIMESTOP,"No position. Suppression is the output: no units, no stop, no risk, no target ladder. The family's runner rule is recorded for completeness only and is inert while the card is suppressed.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-21.csv,2026-05-21 23:45:00
2026-05-22_Trade_2,2026-05-22,SP500_Report_22May2026.md,"Trade 2 - Pivot, regime-aware (TRANSITION branch, breakout side only)",Trade 2,LONG,LIMIT,"Buy limit at 7443.20 index points, working from 09:00 broker to the 23:00 broker cut-off. The level sits 7.10 points BELOW the 21 May reference close of 7450.30, so the only order side permitted at this level is a limit; a buy stop here would sit on the wrong side of the reference close and is non-compliant.",09:00,7443.2,7412.28,7483.37,7499.9,7516.43,30.92,BE_0.2R_ON_TP2,TRACE,"Three equal units. Unit 1 exits at TP1 7483.37 (daily R1). Unit 2 exits at TP2 7499.90 (the R1/R2 midpoint); on that fill the Unit 3 stop moves to entry + 0.2R = 7449.38. Unit 3 runs to TP3 7516.43 (daily R2) or the trailed stop, whichever comes first. Thesis invalidation, distinct from the stop: a daily close back below the daily pivot 7438.73 breaks the breakout-side narrative - that is 25.55 points above the 7412.28 stop, more than 0.15 x ATR14 (11.44) away from it, and the card therefore runs with the stop ahead of invalidation. Event collision: the scheduled calendar for 22 May carries the University of Michigan sentiment and inflation-expectations block plus a Fed Governor Waller speech at 17:00 broker, inside the holding period; size accordingly.",False,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-21.csv,2026-05-21 23:45:00
2026-05-22_Trade_3C,2026-05-22,SP500_Report_22May2026.md,Trade 3C - Momentum-Breakout (SUPPRESSED - no confirmed break at D-1),Trade 3C,n/a,CONDITIONAL,"Suppressed. The variant's eligibility test - a settled daily close beyond the 25-day range boundary by at least a quarter of ATR14 - has not been met, so no conditional order is issued and no level is stated.",09:00,,,,,,,NONE,TRACE,"No position. Suppression is the output: no units, no stop, no risk, no target ladder. The family's runner rule is recorded for completeness only and is inert while the card is suppressed.",True,regen_20260906_qa1_draw1,data/slices/US500/US500_upto_2026-05-21.csv,2026-05-21 23:45:00
